de [mm],g [mm],Nn [],Nc [],Force1.Force_y [kNewton]
11,0.3,14,14,-30.5625036
11,0.3,14,16,-31.49632455
11,0.3,14,18,-32.21724959
11,0.3,14,20,-32.84378864
11,0.3,14,22,-33.35244853
11,0.3,14,24,-33.88447305
11,0.3,14,26,-34.26451788
11,0.3,14,28,-34.70097491
11,0.4,14,14,-28.15960833
11,0.4,14,16,-29.26231369
11,0.4,14,18,-30.09282311
11,0.4,14,20,-30.82912867
11,0.4,14,22,-31.42421774
11,0.4,14,24,-31.99185318
11,0.4,14,26,-32.54071288
11,0.4,14,28,-32.94716441
11,0.5,14,14,-25.55639943
11,0.5,14,16,-27.06005755
11,0.5,14,18,-28.16323982
11,0.5,14,20,-28.92739378
11,0.5,14,22,-29.58683834
11,0.5,14,24,-30.19706174
11,0.5,14,26,-30.72093357
11,0.5,14,28,-31.24294517
11,0.6,14,14,-22.82566957
11,0.6,14,16,-24.7428556
11,0.6,14,18,-26.093706
11,0.6,14,20,-27.13679505
11,0.6,14,22,-27.86413647
11,0.6,14,24,-28.54130307
11,0.6,14,26,-29.08142118
11,0.6,14,28,-29.63805698
11,0.7,14,14,-20.24863962
11,0.7,14,16,-22.39134081
11,0.7,14,18,-24.03753223
11,0.7,14,20,-25.27328939
11,0.7,14,22,-26.22523328
11,0.7,14,24,-26.99530619
11,0.7,14,26,-27.57630521
11,0.7,14,28,-28.14348843
11,0.8,14,14,-17.63357487
11,0.8,14,16,-20.12487954
11,0.8,14,18,-22.00872594
11,0.8,14,20,-23.50110034
11,0.8,14,22,-24.63110643
11,0.8,14,24,-25.46468358
11,0.8,14,26,-26.12777299
11,0.8,14,28,-26.72646191
11,0.9,14,14,-15.21084267
11,0.9,14,16,-17.91776888
11,0.9,14,18,-19.97451648
11,0.9,14,20,-21.60673329
11,0.9,14,22,-22.96279332
11,0.9,14,24,-23.92335275
11,0.9,14,26,-24.74247795
11,0.9,14,28,-25.43640562
11,1,14,14,-13.01239222
11,1,14,16,-15.75861965
11,1,14,18,-18.05762302
11,1,14,20,-19.82367336
11,1,14,22,-21.26989796
11,1,14,24,-22.45060156
11,1,14,26,-23.36295352
11,1,14,28,-24.13205538
11,0.3,15,14,-31.29068769
11,0.3,15,16,-32.16425955
11,0.3,15,18,-32.88182846
11,0.3,15,20,-33.49759109
11,0.3,15,22,-34.06356573
11,0.3,15,24,-34.53409773
11,0.3,15,26,-34.93800733
11,0.3,15,28,-35.38671502
11,0.4,15,14,-28.99302682
11,0.4,15,16,-30.01554654
11,0.4,15,18,-30.88802369
11,0.4,15,20,-31.54895439
11,0.4,15,22,-32.1510573
11,0.4,15,24,-32.67222079
11,0.4,15,26,-33.23167572
11,0.4,15,28,-33.65977519
11,0.5,15,14,-26.62874548
11,0.5,15,16,-27.93705956
11,0.5,15,18,-28.96570013
11,0.5,15,20,-29.72188924
11,0.5,15,22,-30.36165729
11,0.5,15,24,-30.96223916
11,0.5,15,26,-31.493583
11,0.5,15,28,-32.02048074
11,0.6,15,14,-24.08580786
11,0.6,15,16,-25.8369194
11,0.6,15,18,-27.11410683
11,0.6,15,20,-27.9823924
11,0.6,15,22,-28.7226522
11,0.6,15,24,-29.33979125
11,0.6,15,26,-29.88334505
11,0.6,15,28,-30.45639871
11,0.7,15,14,-21.57875906
11,0.7,15,16,-23.71202484
11,0.7,15,18,-25.15761951
11,0.7,15,20,-26.28929585
11,0.7,15,22,-27.1441178
11,0.7,15,24,-27.83372838
11,0.7,15,26,-28.39571741
11,0.7,15,28,-28.97214324
11,0.8,15,14,-19.16684894
11,0.8,15,16,-21.44234828
11,0.8,15,18,-23.2400372
11,0.8,15,20,-24.60651331
11,0.8,15,22,-25.61253763
11,0.8,15,24,-26.33339509
11,0.8,15,26,-26.98988367
11,0.8,15,28,-27.59547355
11,0.9,15,14,-16.73578963
11,0.9,15,16,-19.34598112
11,0.9,15,18,-21.30917394
11,0.9,15,20,-22.89449226
11,0.9,15,22,-24.05477179
11,0.9,15,24,-24.92132739
11,0.9,15,26,-25.65409691
11,0.9,15,28,-26.28535923
11,1,15,14,-14.55503243
11,1,15,16,-17.30156151
11,1,15,18,-19.45919037
11,1,15,20,-21.13160731
11,1,15,22,-22.54407655
11,1,15,24,-23.56969013
11,1,15,26,-24.29400056
11,1,15,28,-25.0148451
11,0.3,16,14,-31.92602412
11,0.3,16,16,-32.80399647
11,0.3,16,18,-33.50590616
11,0.3,16,20,-34.11605061
11,0.3,16,22,-34.65375145
11,0.3,16,24,-35.15111914
11,0.3,16,26,-35.61287315
11,0.3,16,28,-35.99801172
11,0.4,16,14,-29.71800193
11,0.4,16,16,-30.72816214
11,0.4,16,18,-31.54850852
11,0.4,16,20,-32.25491998
11,0.4,16,22,-32.83925437
11,0.4,16,24,-33.36891567
11,0.4,16,26,-33.8767116
11,0.4,16,28,-34.30810948
11,0.5,16,14,-27.5362399
11,0.5,16,16,-28.74031565
11,0.5,16,18,-29.6930505
11,0.5,16,20,-30.46837239
11,0.5,16,22,-31.09789195
11,0.5,16,24,-31.68198923
11,0.5,16,26,-32.18294559
11,0.5,16,28,-32.71164048
11,0.6,16,14,-25.23345444
11,0.6,16,16,-26.7801051
11,0.6,16,18,-27.90795037
11,0.6,16,20,-28.75843451
11,0.6,16,22,-29.48385419
11,0.6,16,24,-30.07503968
11,0.6,16,26,-30.62722112
11,0.6,16,28,-31.14617392
11,0.7,16,14,-22.81562081
11,0.7,16,16,-24.7504631
11,0.7,16,18,-26.13943885
11,0.7,16,20,-27.10624387
11,0.7,16,22,-27.92159044
11,0.7,16,24,-28.56847703
11,0.7,16,26,-29.21313926
11,0.7,16,28,-29.72416216
11,0.8,16,14,-20.48257573
11,0.8,16,16,-22.6815112
11,0.8,16,18,-24.37594893
11,0.8,16,20,-25.52410683
11,0.8,16,22,-26.39948687
11,0.8,16,24,-27.14253559
11,0.8,16,26,-27.82526985
11,0.8,16,28,-28.37727296
11,0.9,16,14,-18.20899262
11,0.9,16,16,-20.61820913
11,0.9,16,18,-22.52662513
11,0.9,16,20,-23.94739945
11,0.9,16,22,-24.99326942
11,0.9,16,24,-25.77615931
11,0.9,16,26,-26.4939737
11,0.9,16,28,-27.08470644
11,1,16,14,-15.96797034
11,1,16,16,-18.66514366
11,1,16,18,-20.72824342
11,1,16,20,-22.35122693
11,1,16,22,-23.60836915
11,1,16,24,-24.49876511
11,1,16,26,-25.27181605
11,1,16,28,-25.86729986
11,0.3,17,14,-32.49719694
11,0.3,17,16,-33.40469806
11,0.3,17,18,-34.04778135
11,0.3,17,20,-34.69611795
11,0.3,17,22,-35.25062239
11,0.3,17,24,-35.74597952
11,0.3,17,26,-36.19814909
11,0.3,17,28,-36.60004529
11,0.4,17,14,-30.37989369
11,0.4,17,16,-31.37166913
11,0.4,17,18,-32.19173861
11,0.4,17,20,-32.85445389
11,0.4,17,22,-33.48405332
11,0.4,17,24,-34.04192469
11,0.4,17,26,-34.54770311
11,0.4,17,28,-34.96739526
11,0.5,17,14,-28.31194618
11,0.5,17,16,-29.43455804
11,0.5,17,18,-30.36678878
11,0.5,17,20,-31.1229161
11,0.5,17,22,-31.7937615
11,0.5,17,24,-32.33494995
11,0.5,17,26,-32.9227359
11,0.5,17,28,-33.4175424
11,0.6,17,14,-26.19680601
11,0.6,17,16,-27.56257294
11,0.6,17,18,-28.6383362
11,0.6,17,20,-29.48564266
11,0.6,17,22,-30.15250101
11,0.6,17,24,-30.78233188
11,0.6,17,26,-31.36286264
11,0.6,17,28,-31.88319835
11,0.7,17,14,-23.94647767
11,0.7,17,16,-25.74059793
11,0.7,17,18,-26.9566604
11,0.7,17,20,-27.89326029
11,0.7,17,22,-28.71382221
11,0.7,17,24,-29.35279386
11,0.7,17,26,-29.92356312
11,0.7,17,28,-30.46416656
11,0.8,17,14,-21.68258171
11,0.8,17,16,-23.82327553
11,0.8,17,18,-25.31191435
11,0.8,17,20,-26.40440655
11,0.8,17,22,-27.20207551
11,0.8,17,24,-27.88551344
11,0.8,17,26,-28.56982531
11,0.8,17,28,-29.13847053
11,0.9,17,14,-19.51837414
11,0.9,17,16,-21.82214548
11,0.9,17,18,-23.58311434
11,0.9,17,20,-24.90557258
11,0.9,17,22,-25.78249633
11,0.9,17,24,-26.55949219
11,0.9,17,26,-27.2204538
11,0.9,17,28,-27.84241427
11,1,17,14,-17.38685352
11,1,17,16,-19.90048063
11,1,17,18,-21.90058487
11,1,17,20,-23.35294134
11,1,17,22,-24.39874858
11,1,17,24,-25.29849761
11,1,17,26,-25.96870543
11,1,17,28,-26.66112602
11,0.3,18,14,-33.10329946
11,0.3,18,16,-33.94710811
11,0.3,18,18,-34.60605948
11,0.3,18,20,-35.22849671
11,0.3,18,22,-35.77704985
11,0.3,18,24,-36.2728159
11,0.3,18,26,-36.75608371
11,0.3,18,28,-37.15860816
11,0.4,18,14,-31.00495276
11,0.4,18,16,-31.97312545
11,0.4,18,18,-32.82144492
11,0.4,18,20,-33.46853454
11,0.4,18,22,-34.09978115
11,0.4,18,24,-34.63254744
11,0.4,18,26,-35.12148292
11,0.4,18,28,-35.5748375
11,0.5,18,14,-28.98171463
11,0.5,18,16,-30.08158453
11,0.5,18,18,-30.9869435
11,0.5,18,20,-31.72611611
11,0.5,18,22,-32.42191692
11,0.5,18,24,-32.99443538
